a,v0,ecarts,ecartsA,ecartsV,grad,diffA,diffV
1.8970158709807339,8.33,7.946389609067208,7.9464608142186695,0,7.120515146130656,7.120515146130656,0
1.896944519219296,8.33,7.945881998523763,7.945953350285201,0,7.135176143790999,7.135176143790999,0
1.8968730169577532,8.33,7.94537228104032,7.9454437833018625,0,7.150226154273297,7.150226154273297,0
1.896801360325974,8.33,7.9448603966876625,7.944932053319442,0,7.1656631779326565,7.1656631779326565,0
1.896729545467576,8.33,7.944346285434918,7.944418100293316,0,7.181485839780065,7.181485839780065,0
1.8966575685439975,8.33,7.943829887114088,7.943901864037667,0,7.19769235786316,7.19769235786316,0
1.8965854257369839,8.33,7.943311141451144,7.943383284258157,0,7.214280701361985,7.214280701361985,0
1.8965131132482136,8.33,7.942789988087759,7.942862300576529,0,7.2312488770265295,7.2312488770265295,0
1.8964406273039836,8.33,7.942266366586719,7.942338852530949,0,7.24859442300385,7.24859442300385,0
1.8963679641504112,8.33,7.9417402164662585,7.941812879619831,0,7.266315357234986,7.266315357234986,0
1.896295120062066,8.33,7.941211477182578,7.941284321270923,0,7.284408834529187,7.284408834529187,0
1.8962220913429326,8.33,7.940680088197731,7.940753116916865,0,7.302871913328345,7.302871913328345,0
1.8961488743277788,8.33,7.940145989002979,7.940219206018133,0,7.321701515383693,7.321701515383693,0
1.8960754653863385,8.33,7.939609119153179,7.939682528094619,0,7.340894144025611,7.340894144025611,0
1.8960018609334255,8.33,7.939069418341818,7.939143022794731,0,7.360445291304528,7.360445291304528,0
1.8959280574408655,8.33,7.938526826546428,7.938600630038988,0,7.3803492560031705,7.3803492560031705,0
1.8958540513878428,8.33,7.937981284166795,7.938055290219817,0,7.400605302265716,7.400605302265716,0
1.8957798397521795,8.33,7.937432732903871,7.9375069445395345,0,7.421163566334598,7.421163566334598,0
1.895705420026856,8.33,7.936881120485054,7.936955540210377,0,7.44197253235157,7.44197253235157,0
1.8956307823777556,8.33,7.936326419979531,7.936401057628632,0,7.463764910031755,7.463764910031755,0
1.8955559278877945,8.33,7.935768426171701,7.935843280661662,0,7.485448996114029,7.485448996114029,0
1.8954808531565717,8.33,7.935207173956951,7.935282248688174,0,7.507473122281282,7.507473122281282,0
1.8954055548174984,8.33,7.934642602907465,7.934717901246538,0,7.529833907327087,7.529833907327087,0
1.8953300295438305,8.33,7.934074652684871,7.934150177958539,0,7.552527366794236,7.552527366794236,0
1.895254274045144,8.33,7.933503263083591,7.933579018582278,0,7.575549868654718,7.575549868654718,0
1.8951782850683192,8.33,7.932928373995721,7.933004362972546,0,7.5988976824703505,7.5988976824703505,0
1.8951020593711285,8.33,7.932349925347375,7.932426151044566,0,7.622569719067939,7.622569719067939,0
1.8950255939699239,8.33,7.931767856596268,7.931844321997473,0,7.646540120465061,7.646540120465061,0
1.8949488856288537,8.33,7.931182112009773,7.931258820350843,0,7.670834107020851,7.670834107020851,0
1.8948719312735016,8.33,7.930592629905605,7.930669584260957,0,7.695435535204353,7.695435535204353,0
