a,dureeFeu,ecarts
2.0,27.0,14.84674654607193
2.0,27.25,17.86858681584343
2.0,27.5,20.991477057100948
2.0,27.75,23.72590998878283
2.0,28.0,26.138522484060253
2.0,28.25,28.474290456038542
2.0,28.5,29.99492086049561
2.0,28.75,17.81875361293573
2.0,29.0,19.088228552073296
2.0,29.25,4.165734014725417
2.0,29.5,5.365086204015366
2.0,29.75,6.79412220157284
2.05,25.0,19.614012294305674
2.05,25.25,14.881409557940502
2.05,25.5,5.54006112418631
2.05,25.75,8.973403092284606
2.05,26.0,3.573243857097413
2.05,26.25,5.832120164036846
2.05,26.5,8.607943087878493
2.05,26.75,11.50504292476063
2.05,27.0,14.65848481682329
2.05,27.25,17.686351152041667
2.05,27.5,20.811379477242173
2.05,27.75,23.65672527909851
2.05,28.0,25.983729638567915
2.05,28.25,27.999787485580455
2.05,28.5,15.934501441588182
2.05,28.75,17.456148085217848
2.05,29.0,13.128644700462582
2.05,29.25,4.111847679535974
2.05,29.5,5.300111585279627
2.05,29.75,6.71780698763796
2.1,25.0,19.39961447087923
2.1,25.25,14.446594961277627
2.1,25.5,5.366649878399971
2.1,25.75,8.812710361686895
2.1,26.0,3.4913958271022008
2.1,26.25,5.706074198896656
2.1,26.5,8.460054740912842
2.1,26.75,11.339057216992149
2.1,27.0,14.473090948060914
2.1,27.25,17.534613462123453
2.1,27.5,20.657771042970325
2.1,27.75,23.50589417326004
2.1,28.0,25.638517666866775
2.1,28.25,19.010358292290604
2.1,28.5,15.636188812897611
2.1,28.75,17.125717668463135
2.1,29.0,3.0568695682617912
2.1,29.25,4.059726256518102
2.1,29.5,5.253543043729888
2.1,29.75,6.650496295100142
2.15,25.0,10.611473071190858
2.15,25.25,2.5396963201127463
2.15,25.5,5.208704185223997
2.15,25.75,1.901702942208626
2.15,26.0,3.4106493789405823
2.15,26.25,5.573589771437537
2.15,26.5,8.304360905713658
2.15,26.75,11.184161176038737
2.15,27.0,14.305353323161242
2.15,27.25,17.40890175459563
2.15,27.5,20.492904890966727
2.15,27.75,23.251209689937106
2.15,28.0,25.279807997054746
2.15,28.25,13.95639453297758
2.15,28.5,15.400449122233223
2.15,28.75,2.205368245194852
2.15,29.0,3.021937638622063
2.15,29.25,4.010179612696387
2.15,29.5,5.208295593034759
2.15,29.75,6.588053576212733
2.2,25.0,0.8083064428673906
2.2,25.25,2.41964305101307
2.2,25.5,5.071352727473233
2.2,25.75,1.8722233111960478
2.2,26.0,3.3288328922881854
2.2,26.25,5.445871320510073
2.2,26.5,8.144951521159193
2.2,26.75,11.053990052080746
2.2,27.0,14.161177396900563
2.2,27.25,17.30663099081135
2.2,27.5,20.267594887559817
2.2,27.75,22.717724095833773
2.2,28.0,16.741047545341644
2.2,28.25,13.72360187048871
2.2,28.5,9.997548483516365
2.2,28.75,2.183296409222687
2.2,29.0,2.9786135864915915
2.2,29.25,3.9497166710544893
2.2,29.5,5.152825677270789
2.2,29.75,6.505663606374802
2.25,25.0,0.7514001690242402
2.25,25.25,2.3059894619029437
2.25,25.5,4.93266189240847
2.25,25.75,1.838374444131526
2.25,26.0,3.228687372924501
2.25,26.25,5.309965770102503
2.25,26.5,7.974930529826787
2.25,26.75,10.91275913490465
2.25,27.0,14.033697568532556
2.25,27.25,17.203849855405643
2.25,27.5,19.854762890725965
2.25,27.75,13.856965478447073
2.25,28.0,11.679518421513702
2.25,28.25,13.453758592267407
2.25,28.5,1.6509347602394846
2.25,28.75,2.152260665152561
2.25,29.0,2.9352953608839107
2.25,29.25,3.890824833630573
2.25,29.5,5.083077403086909
2.25,29.75,6.418139023080764
2.3,25.0,0.7027276088758481
2.3,25.25,2.19431425357633
2.3,25.5,4.7865174480356245
2.3,25.75,1.8143329133546873
2.3,26.0,3.1401776420140983
2.3,26.25,5.189547977000977
2.3,26.5,7.823614039187459
2.3,26.75,10.79383081422858
2.3,27.0,13.92167971314934
2.3,27.25,17.0475914087733
2.3,27.5,19.364589509156946
2.3,27.75,13.996906492881262
2.3,28.0,11.400256625176587
2.3,28.25,8.470079681068176
2.3,28.5,1.643939763857522
2.3,28.75,2.125803182347464
2.3,29.0,2.903107335935852
2.3,29.25,3.83068554976202
2.3,29.5,5.0023680220178655
