a,dureeFeu,ecarts
1.5,33.0,334.6576826442935
1.5,33.2,348.3378246454424
1.5,33.4,359.7025098511667
1.5,33.6,374.147716856417
1.5,33.8,388.313119752826
1.5,34.0,405.24923517424446
1.5,34.2,422.4514466162274
1.5,34.4,438.3859071182824
1.5,34.6,455.57435456786857
1.5,34.8,470.02850490652526
1.5,35.0,425.51512163289595
1.5,35.2,391.8458590803263
1.5,35.4,359.78725614358325
1.5,35.6,355.46672839146106
1.5,35.8,310.27134064658736
1.5,36.0,319.98367654647126
1.5,36.2,328.85792687388056
1.5,36.400000000000006,337.2386103007429
1.5,36.6,345.287444972536
1.5,36.8,354.4373844865991
1.5,37.0,363.0371297523224
1.5,37.2,373.9012081608981
1.5,37.400000000000006,384.3855630801672
1.5,37.6,395.19790564571144
1.5,37.8,405.9652320122894
1.5,38.0,418.50831419425526
1.5,38.2,430.86461878477314
1.5,38.400000000000006,444.94415526328663
1.5,38.6,459.52313053933557
1.5,38.8,424.45787332379285
1.5,39.0,437.6445735655436
1.5,39.2,376.28517500734586
1.5,39.400000000000006,361.88233063414253
1.5,39.6,354.2555762814362
1.5,39.8,342.711437060275
1.525,20.0,327.7545302799992
1.525,20.2,343.89224290326234
1.525,20.4,363.14777477327914
1.525,20.6,351.9459580961851
1.525,20.8,371.0380703492265
1.525,21.0,390.9781895551214
1.525,21.2,406.75017333714413
1.525,21.4,420.5616138351368
1.525,21.6,430.2341619051201
1.525,21.8,443.1259587417527
1.525,22.0,457.6994896819385
1.525,22.2,472.83692260494956
1.525,22.4,489.90767760275287
1.525,22.6,481.1582718162825
1.525,22.8,452.7316977415446
1.525,23.0,439.980845220471
1.525,23.2,415.2617510398399
1.525,23.4,428.50276336507835
1.525,23.6,270.38979257671747
1.525,23.8,281.48373572881326
1.525,24.0,294.3220715021909
1.525,24.2,309.39031366201556
1.525,24.4,327.1226495975828
1.525,24.6,346.16850775693746
1.525,24.8,364.7857994786002
1.525,25.0,381.680930922204
1.525,25.2,396.43156742770793
1.525,25.4,409.87394258264635
1.525,25.6,420.9529304634209
1.525,25.8,429.89918047847993
1.525,26.0,438.8632228951659
1.525,26.2,450.7411228745142
1.525,26.4,467.11072040197865
1.525,26.6,453.58358541954
1.525,26.8,404.52723143345656
1.525,27.0,388.52618974471477
1.525,27.2,372.2953778864661
1.525,27.4,375.47762403766546
1.525,27.6,262.55545683115116
1.525,27.8,277.69624202028075
1.525,28.0,291.03110574457105
1.525,28.200000000000003,304.1138314125303
1.525,28.4,314.5035629420086
1.525,28.6,325.86727997494074
1.525,28.8,335.71434304596903
1.525,29.0,346.60605841163147
1.525,29.200000000000003,358.6363223023666
1.525,29.4,369.9706650398266
1.525,29.6,384.1177832802462
1.525,29.8,399.1753537863519
1.525,30.0,415.3339365409092
1.525,30.200000000000003,432.5625085494638
1.525,30.4,450.74882603981087
1.525,30.6,468.2807540946075
1.525,30.8,429.75070079451183
1.525,31.0,419.8293105133438
1.525,31.200000000000003,405.83175037986115
1.525,31.4,370.5582555748117
1.525,31.6,298.6276348351956
1.525,31.8,309.9489131429658
1.525,32.0,319.25599484771374
1.525,32.2,329.5876658639549
1.525,32.4,338.54699928639684
1.525,32.6,348.6756428767069
1.525,32.8,361.09951203992006
1.525,33.0,333.6804117878804
1.525,33.2,347.369944783651
1.525,33.4,360.1009656475335
1.525,33.6,373.22197788118785
1.525,33.8,388.2039207428397
1.525,34.0,404.62394613511617
1.525,34.2,421.59733587678477
1.525,34.4,439.1592094048848
1.525,34.6,456.01971146286763
1.525,34.8,409.55087705614983
1.525,35.0,412.8738824655557
1.525,35.2,347.53734890162224
1.525,35.4,345.4047730346066
1.525,35.6,342.3476342284589
1.525,35.8,309.70176628566554
1.525,36.0,319.02474290187376
1.525,36.2,327.96544556988215
1.525,36.400000000000006,336.47526266843505
1.525,36.6,344.3781501036732
1.525,36.8,354.40007631693527
1.525,37.0,362.563241378616
1.525,37.2,373.4071573520046
1.525,37.400000000000006,383.581181101475
1.525,37.6,394.50967365446326
1.525,37.8,405.8516906458691
1.525,38.0,417.84754762588636
1.525,38.2,430.4210535151417
1.525,38.400000000000006,444.7348703866831
1.525,38.6,462.73746040196403
1.525,38.8,423.9716323041372
1.525,39.0,411.83846914388755
1.525,39.2,336.3570864880352
1.525,39.400000000000006,339.85098795389166
1.525,39.6,331.2055816555512
1.525,39.8,318.4586372246283
1.55,20.0,327.3790856382752
1.55,20.2,343.362104212598
1.55,20.4,362.7706949119686
1.55,20.6,351.6531792700835
1.55,20.8,371.05616408755265
1.55,21.0,390.41108804902626
1.55,21.2,406.4040140835372
1.55,21.4,420.1401548940145
1.55,21.6,430.06541708907037
1.55,21.8,442.80226084016346
1.55,22.0,457.47882861977246
1.55,22.2,472.8395329381494
1.55,22.4,489.3211010373843
